Orbital Period (days),Eccentricity,BH mass (Msun),Companion mass (Msun),Age (Myr)
1599033.833395,0.698349,7.958760,0.697810,1272.287097
33523.460921,0.580720,17.832946,0.532227,9072.179632
712892.821964,0.503463,7.940782,1.793610,1532.234643
708224.548358,0.541506,8.077861,1.046582,6439.342294
76569.023226,0.249224,7.543244,1.005413,5418.538959
1249282.911096,0.600967,7.782395,0.338950,4193.916340
232436.204759,0.726911,7.919901,0.478713,8208.895280
690301.980200,0.367030,7.639022,0.886600,5150.322040
10184747.303239,0.818467,8.364085,0.160555,2025.650335
148093.616673,0.468946,18.679716,0.756976,6784.573265
1010969.392418,0.554011,7.962879,0.923606,6214.957566
1.085277,0.000000,8.532233,0.974737,7118.068682
2935806.200092,0.282384,7.847978,0.740203,3441.807730
2882799.493669,0.767657,19.272100,0.846558,10854.797917
459915.571211,0.687627,7.762885,0.980757,1016.191815
1005968.186666,0.674321,8.237975,1.372128,916.561450
3589410.951411,0.836701,7.453407,1.249341,3640.702049
10588261.633442,0.954424,7.554141,0.460199,219.436549
27128.554897,0.185103,31.926326,0.170342,6869.717175
64302.680159,0.302968,7.584516,1.043985,7566.521564
1378655.523172,0.250643,7.332226,0.091644,6319.892889
150215.577920,0.301404,8.075520,0.893841,4797.725801
838342.878069,0.455517,8.453964,0.495053,8018.941272
544764.028072,0.475245,7.572955,0.259122,4687.047983
3552786.981298,0.501605,17.752555,0.192294,10645.026577
1151698.695976,0.334623,7.677189,0.088854,6738.344716
10927620.308785,0.695963,7.676536,0.571433,3457.916172
223951.655224,0.624442,7.426119,0.462715,7445.895411
2321556.025693,0.724665,8.577015,0.968246,6566.042628
1173451.401548,0.600778,7.933783,0.513064,2039.872691
517060.814936,0.236479,16.657513,0.599668,10702.506618
106445.367682,0.402705,7.461845,0.531622,5032.152736
191298.118411,0.103760,8.615856,0.501404,8164.810284
435340.188072,0.709683,19.410681,0.770472,10153.370210
2652375.418982,0.447547,7.337344,0.402039,5394.789945
10313397.485005,0.815066,7.560625,0.699992,881.118346
2287197.541323,0.568773,7.603848,0.967133,2531.552375
5763574.227378,0.892389,7.664724,0.108352,7288.928016
1168092.818122,0.665833,7.591162,0.749104,4731.279985
387142.084099,0.495128,12.539016,0.913934,8318.880323
2891407.331229,0.894078,8.188855,0.447206,7692.123881
2129566.947055,0.583381,8.681803,0.313430,7469.362566
5684530.620894,0.591562,7.763517,3.283656,302.838431
4024362.075751,0.915445,7.683673,0.621367,5154.766556
13941826.512210,0.825944,7.601885,0.357045,3075.900340
1197212.317560,0.629117,7.808617,0.952530,6549.680943
2147500.401094,0.219742,8.019753,0.222874,8559.856712
363563.175277,0.082734,18.324579,0.678939,10815.162451
669251.129509,0.806915,7.678059,0.416568,6139.105951
14197004.133124,0.567291,7.984590,0.469115,3892.810300
27933.666856,0.120511,7.946553,0.763495,7980.274703
5824514.112318,0.172950,7.522696,0.429917,4721.661033
874273.236633,0.614291,8.252034,1.089969,2632.699456
2208836.159507,0.936780,12.172442,0.845087,9363.601002
580685.334366,0.544069,18.515428,0.647937,8336.305083
5412123.630460,0.441899,7.384824,1.005064,614.553973
2.134512,0.114739,13.367764,0.209240,12554.480245
205365.203274,0.733887,8.684540,0.701010,5831.522350
1408766.644758,0.796897,8.093526,0.263351,1690.040840
1255437.521676,0.244026,20.246918,1.013504,7770.604429
27291.875591,0.685846,17.248351,0.182760,9248.342645
12755700.654660,0.324264,8.527946,0.717847,863.651456
5933043.198958,0.474659,8.191544,0.278226,5705.789808
119576.002690,0.341580,7.726245,0.152781,6075.228565
6655515.010975,0.932402,7.941343,0.087963,425.815839
6142827.293168,0.117335,7.330349,1.139075,2874.177596
937373.731001,0.961296,17.577672,0.164337,12148.348591
426572.079915,0.172158,18.848004,0.295096,5005.070432
734391.785091,0.699253,7.420259,0.367843,5185.931652
2655126.944878,0.855747,7.705627,0.811351,6050.687729
1773506.739706,0.424112,7.657688,1.245554,1485.074840
4988974.114322,0.912193,7.595262,0.756063,2871.491467
470126.533726,0.760790,17.575810,0.175354,6572.524601
1566562.720507,0.776322,8.285975,0.847130,5547.557856
1667293.107375,0.771361,7.342551,1.715165,257.751640
728650.075912,0.947049,20.422562,0.369585,11789.877700
207660.162234,0.787953,18.457436,0.094871,8822.446140
55796.994943,0.090508,7.769337,1.631540,397.800024
0.119000,0.000000,8.137430,0.039383,8636.170984
414970.954747,0.735584,7.606388,0.333881,4895.952386
744288.883545,0.397702,8.107931,0.495829,5402.149818
1.573014,0.000000,6.490926,0.904123,10347.931459
216955.639900,0.747527,7.571798,0.916501,5921.427576
80081.858898,0.450438,10.927246,0.514139,8137.732220
8699823.491716,0.800278,8.563726,0.201058,6757.992225
1990199.710494,0.543697,8.357827,0.341281,10239.079046
13463.354324,0.553269,16.579041,0.541245,12208.211349
4.548035,0.027115,17.813037,0.546384,8058.341194
1312928.053968,0.813790,7.958578,1.850667,1535.848978
1439843.458460,0.663686,17.681923,0.149103,10190.342142
3023315.380663,0.929506,16.488566,0.977056,9101.813339
4681343.610639,0.633939,7.554301,0.832791,7239.498869
773236.406973,0.506182,12.102146,1.039305,7546.543546
25580.664836,0.181654,10.469090,0.427956,8420.644369
1495955.605660,0.716985,7.338383,1.671426,1689.874701
11600526.796367,0.888950,8.454332,0.142031,3778.146301
43843.710799,0.328136,17.683800,0.593095,8642.164066
18696.493119,0.405703,17.753701,0.632672,11712.126760
10855867.771134,0.731530,7.947370,0.466425,4426.584212
1322065.858261,0.838718,8.141989,0.696944,8439.169655
243782.774002,0.748899,8.331216,1.628105,367.519743
2962265.410480,0.279853,15.972271,0.828105,8878.753215
11161681.932556,0.936980,8.028349,0.195617,6744.961217
2085087.516847,0.538169,7.766804,0.941433,5017.371865
11625390.915256,0.631661,7.482788,0.126463,3744.482008
114969.203463,0.218615,7.743085,0.231750,6032.945822
3233137.009218,0.671628,7.932436,0.193244,2476.619041
14674927.559375,0.372351,7.923637,0.439157,688.326142
3012800.610344,0.775842,7.591632,2.317188,282.377883
159974.132633,0.489823,7.453895,0.185495,4671.378071
0.116864,0.000000,3.229751,0.044458,11169.492852
96722.605109,0.227946,8.152670,0.758379,8461.537538
593570.720461,0.661441,8.574550,0.970677,7186.372363
6931.498217,0.170070,18.098705,0.351269,10631.961240
938362.513968,0.099209,7.446401,0.560233,4903.202219
5124337.349798,0.832027,7.564983,0.527703,8278.396091
602586.822043,0.559220,24.307811,0.841349,10367.985537
1127094.375810,0.854161,7.594170,1.754811,1633.478229
304552.691208,0.239701,8.372715,1.067259,5874.219886
6743886.068356,0.700086,7.592517,0.429386,8841.872628
3775882.903632,0.061252,7.868802,0.243163,1979.332742
4671942.000672,0.489842,8.456319,0.462035,1473.801315
733561.960307,0.709046,14.237889,0.876879,10912.473239
14173197.858516,0.876380,8.003869,0.196140,6380.554389
1454702.738056,0.469687,15.593859,0.717038,10233.171304
1047168.382711,0.832336,8.366061,1.823421,337.516312
406917.494073,0.752705,8.084424,0.566932,2762.618578
143119.454299,0.465814,7.592344,0.222546,6543.312417
49.774017,0.050024,7.727959,2.267293,548.576511
249275.221562,0.518329,7.789885,1.072776,5768.253236
636114.092782,0.826938,12.615639,0.737490,7007.225507
1564851.496564,0.899776,8.019076,0.434133,4551.155588
183996.419979,0.577308,7.230613,0.381818,6442.843012
3969269.674517,0.645902,7.779010,1.265028,2841.197514
46977.114636,0.639765,18.139664,0.663728,11218.492413
1669404.630793,0.681179,19.041012,0.795589,9263.166238
26435033.433408,0.874397,7.770115,0.220530,3012.872774
12466.557796,0.380022,31.400259,0.347569,12958.247647
1287726.215937,0.822572,7.467837,0.920069,3558.459374
240983.289454,0.460905,12.249006,0.536174,10714.490312
1.499483,0.309946,5.825552,0.401249,11182.346198
436244.232170,0.242637,8.157987,1.009947,8231.833635
4394304.136335,0.697684,8.465087,0.788357,5531.561010
2787406.828159,0.659065,8.612592,0.312164,8908.895067
7066126.340465,0.948425,7.423989,0.476481,4681.275506
216416.497685,0.424902,7.771025,0.996237,6560.822869
28537.523675,0.223352,16.683006,0.358361,8069.583853
2732229.717032,0.288060,7.977351,0.934863,6227.150393
8569505.180407,0.631591,7.653948,0.391509,5656.403763
561806.536642,0.771448,21.267861,0.580712,9468.130830
326846.198915,0.110999,17.147433,0.556683,10020.000979
1.918610,0.172473,6.581768,0.426066,10621.569793
5910870.426457,0.830140,7.892434,0.933858,5150.123100
10647588.744056,0.864291,7.421926,0.218219,5227.137310
1139628.007560,0.284124,7.510589,0.541556,2892.295450
7934209.412214,0.827551,7.385279,1.458149,1138.445611
385991.736335,0.846395,8.915994,0.540675,6592.296100
1177616.631930,0.750909,22.361280,0.809448,9791.161100
170514.086814,0.730799,21.841897,0.155608,11615.895599
2680642.659877,0.850184,7.723069,1.408717,864.862244
71316.231842,0.825186,14.873713,0.114914,10783.305923
437331.881520,0.544160,7.676462,1.746689,1226.475404
2.112081,0.537101,8.372981,0.630196,12181.955367
373841.650010,0.631747,7.935592,1.275542,4887.374672
114540.219188,0.197689,7.362875,1.121384,2250.543990
221353.590372,0.700043,12.688506,0.569542,8773.851659
3889110.901307,0.663041,7.944342,0.482030,2038.894828
2160476.301453,0.696718,7.500932,0.865623,4973.034392
2032688.858723,0.833676,7.788655,0.481463,1780.347130
855626.845070,0.895408,7.463084,0.087612,5579.226488
158912.725047,0.334409,14.193333,0.221549,9821.419949
89854.551011,0.407647,7.980555,0.112720,6383.423604
243866.985695,0.728662,21.119561,0.327298,10646.140101
1328345.260303,0.706762,15.940960,0.429040,6577.451743
1016276.618485,0.615123,7.625628,0.767891,7447.886982
593757.518710,0.566574,8.078191,0.336802,4521.529149
0.740458,0.292548,7.078341,0.434560,9277.327542
2085945.066239,0.516914,7.733860,0.802128,6027.092852
295409.499266,0.280210,11.749352,0.597165,8815.316925
21370.887483,0.277746,12.770651,0.915490,10128.756870
328287.978279,0.667982,7.511667,0.840713,6083.484557
968242.358357,0.790725,11.064174,0.353183,8396.225412
73167.904988,0.129151,8.143535,1.016520,4011.775135
5489007.639125,0.388430,7.364597,0.262044,4635.241331
1792317.904205,0.146684,7.786051,0.168561,45.141341
14136.976241,0.125548,13.028521,0.130489,6333.067964
2546744.880137,0.299198,18.148769,0.134992,10256.262309
3475938.055098,0.696665,8.095242,1.308224,4023.055498
1003466.018391,0.714954,7.938823,0.902097,5588.255365
2658914.927163,0.803222,16.834986,0.510146,8609.004587
44538.451043,0.801969,15.352769,0.736665,9836.303725
1171437.686181,0.860755,8.203275,0.735146,7054.878663
4978919.135621,0.853954,7.903360,1.537996,1791.597368
422895.764458,0.303448,15.245359,0.594402,11540.845316
4093765.588061,0.209325,7.722810,0.143373,1535.567587
214384.048848,0.736945,12.578996,0.885774,9043.379825
83979.684387,0.469292,8.310409,0.698873,7124.797259
976715.519421,0.592297,11.986079,0.824688,8806.043918
1864784.493701,0.905659,12.088155,0.402798,6982.839119
55991.008312,0.766530,18.200974,0.875720,10132.014209
